"","No antidoto, prima delle restrizioni Covid","No antidoto, durante le restrizioni Covid","No antidoto, dopo le restrizioni Covid","Antidoto disponibile, prima delle linee guida","Antidoto disponibile, dopo le linee guida",Totale
N,18,24,3,35,6,86
"Donne (N, %)",6 (33.3%),14 (58.3%),2 (66.7%),8 (22.9%),4 (66.7%),34 (39.5%)
"Età (media, ds)",71.6 (15.9),75.8 (13.8),74.3 (5.1),78.7 (16.2),77.7 (12.6),76.2 (15)
"Classe di età (N,%)", , , , , , 
0-17,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
18-39,1 (5.6%),0 (0%),0 (0%),0 (0%),0 (0%),1 (1.2%)
40-49,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%)
60-79,10 (55.6%),12 (50%),2 (66.7%),13 (37.1%),1 (16.7%),38 (44.2%)
80+,5 (27.8%),10 (41.7%),1 (33.3%),18 (51.4%),4 (66.7%),38 (44.2%)
Range di date (min-max),2018-09-27 - 2020-02-20,2020-03-01 - 2021-04-22,2021-06-25 - 2021-08-03,2021-09-02 - 2023-07-31,2023-08-18 - 2023-12-25,2018-09-27 - 2023-12-25
"Numero di sanguinamenti nei 3 anni precedenti (N, %)", , , , , , 
0,17 (94.4%),20 (83.3%),3 (100%),34 (97.1%),6 (100%),80 (93%)
1,1 (5.6%),4 (16.7%),0 (0%),1 (2.9%),0 (0%),6 (7%)
"Giorni dal più recente sanguinamento (Mediana, range IQ)",642 (642-642),300 (236.25-313.5),NA (NA-NA),655 (655-655),NA (NA-NA),317 (295-562.5)
